"RecordID","TimeStamp","DeltaToUTC","UserID","ObjectID","Description","Comment","Checksum"
0,"5/12/2019 8:10:25 AM","-6:00","System","Application","Runtime start of WinCC Runtime Advanced V15.1 on HMI device Nitol-PC. Project: 'Coating Machine.PC station - 0' Build 4, created with WinCC Professional V15.1",,yyBXdE
19,"5/12/2019 8:10:25 AM","-6:00","System","Application","Change to operating mode 'online'.",,GhcJr1
20,"5/12/2019 8:10:25 AM","-6:00","System","User administration","User administration imported successfully.",,klqW6K
0,"5/12/2019 8:10:50 AM","-6:00","System","Application","Stopping program run of WinCC Runtime Advanced V15.1 on device Nitol-PC.",,LIuotb
0,"5/12/2019 9:32:19 AM","-6:00","System","Application","Runtime start of WinCC Runtime Advanced V15.1 on HMI device Nitol-PC. Project: 'Coating Machine.PC station - 0' Build 4, created with WinCC Professional V15.1",,ZRdAXZ
21,"5/12/2019 9:32:19 AM","-6:00","System","Application","Change to operating mode 'online'.",,HPVBUN
22,"5/12/2019 9:32:19 AM","-6:00","System","User administration","User administration imported successfully.",,kK3/fp
0,"5/12/2019 9:35:09 AM","-6:00","System","Application","Stopping program run of WinCC Runtime Advanced V15.1 on device Nitol-PC.",,s8AN1T
0,"5/12/2019 10:22:15 AM","-6:00","System","Application","Runtime start of WinCC Runtime Advanced V15.1 on HMI device Nitol-PC. Project: 'Coating Machine.PC station - 0' Build 13, created with WinCC Professional V15.1",,BnYbcm
23,"5/12/2019 10:22:15 AM","-6:00","System","Application","Change to operating mode 'online'.",,eBLjFd
24,"5/12/2019 10:22:15 AM","-6:00","System","User administration","User administration imported successfully.",,HQ7cx3
0,"5/12/2019 10:22:24 AM","-6:00","System","Application","Stopping program run of WinCC Runtime Advanced V15.1 on device Nitol-PC.",,b50+eD
0,"5/12/2019 12:05:02 PM","-6:00","System","Application","Runtime start of WinCC Runtime Advanced V15.1 on HMI device Nitol-PC. Project: 'Coating Machine.PC station - 0' Build 14, created with WinCC Professional V15.1",,HGBRrD
25,"5/12/2019 12:05:02 PM","-6:00","System","User administration","User administration imported successfully.",,QEJHSx
0,"5/12/2019 12:05:22 PM","-6:00","System","Application","Stopping program run of WinCC Runtime Advanced V15.1 on device Nitol-PC.",,Wze4pg
0,"5/12/2019 12:05:39 PM","-6:00","System","Application","Runtime start of WinCC Runtime Advanced V15.1 on HMI device Nitol-PC. Project: 'Coating Machine.PC station - 0' Build 14, created with WinCC Professional V15.1",,jn8lDe
26,"5/12/2019 12:05:39 PM","-6:00","System","Application","Change to operating mode 'online'.",,fD0rKr
27,"5/12/2019 12:05:39 PM","-6:00","System","User administration","User administration imported successfully.",,I/haRi
28,"5/12/2019 12:17:23 PM","-6:00","System","User administration","User 'admin' logged on with group 'Administrator group'.",,vYEr8J
29,"5/12/2019 12:17:31 PM","-6:00","admin","User administration","User logged off.",,r/Y6j9
0,"5/12/2019 12:17:40 PM","-6:00","System","Application","Stopping program run of WinCC Runtime Advanced V15.1 on device Nitol-PC.",,1oJK3a
0,"5/12/2019 12:21:09 PM","-6:00","System","Application","Runtime start of WinCC Runtime Advanced V15.1 on HMI device Nitol-PC. Project: 'Coating Machine.PC station - 0' Build 14, created with WinCC Professional V15.1",,Aez8xT
30,"5/12/2019 12:21:09 PM","-6:00","System","Application","Change to operating mode 'online'.",,jkC7sn
31,"5/12/2019 12:21:09 PM","-6:00","System","User administration","User administration imported successfully.",,jUWRFZ
0,"5/12/2019 12:23:05 PM","-6:00","System","Application","Stopping program run of WinCC Runtime Advanced V15.1 on device Nitol-PC.",,87gGG7
0,"5/13/2019 10:17:22 AM","-6:00","System","Application","Runtime start of WinCC Runtime Advanced V15.1 on HMI device Nitol-PC. Project: 'Coating Machine.PC station - 0' Build 14, created with WinCC Professional V15.1",,X5hFNQ
32,"5/13/2019 10:17:22 AM","-6:00","System","Application","Change to operating mode 'online'.",,H+qoyI
33,"5/13/2019 10:17:22 AM","-6:00","System","User administration","User administration imported successfully.",,lXBIVg
0,"5/13/2019 11:48:41 AM","-6:00","System","Application","Stopping program run of WinCC Runtime Advanced V15.1 on device Nitol-PC.",,EZh7jU
0,"5/13/2019 11:50:19 AM","-6:00","System","Application","Runtime start of WinCC Runtime Advanced V15.1 on HMI device Nitol-PC. Project: 'Coating Machine.PC station - 0' Build 14, created with WinCC Professional V15.1",,cAfo+o
34,"5/13/2019 11:50:19 AM","-6:00","System","Application","Change to operating mode 'online'.",,YgNpXC
35,"5/13/2019 11:50:19 AM","-6:00","System","User administration","User administration imported successfully.",,OLR2ka
0,"5/13/2019 11:50:43 AM","-6:00","System","Application","Stopping program run of WinCC Runtime Advanced V15.1 on device Nitol-PC.",,pnsvM9
0,"5/13/2019 11:54:03 AM","-6:00","System","Application","Runtime start of WinCC Runtime Advanced V15.1 on HMI device Nitol-PC. Project: 'Coating Machine.PC station - 0' Build 14, created with WinCC Professional V15.1",,ImEiTV
36,"5/13/2019 11:54:03 AM","-6:00","System","Application","Change to operating mode 'online'.",,G2pkm0
37,"5/13/2019 11:54:03 AM","-6:00","System","User administration","User administration imported successfully.",,FbvxX2
0,"5/13/2019 11:54:17 AM","-6:00","System","Application","Stopping program run of WinCC Runtime Advanced V15.1 on device Nitol-PC.",,liiAqy
0,"5/13/2019 11:55:01 AM","-6:00","System","Application","Runtime start of WinCC Runtime Advanced V15.1 on HMI device Nitol-PC. Project: 'Coating Machine.PC station - 0' Build 14, created with WinCC Professional V15.1",,wVEvyV
38,"5/13/2019 11:55:01 AM","-6:00","System","Application","Change to operating mode 'online'.",,PdIosX
39,"5/13/2019 11:55:01 AM","-6:00","System","User administration","User administration imported successfully.",,1yNDMP
0,"5/13/2019 11:55:17 AM","-6:00","System","Application","Stopping program run of WinCC Runtime Advanced V15.1 on device Nitol-PC.",,FU0JSO
0,"5/13/2019 11:55:47 AM","-6:00","System","Application","Runtime start of WinCC Runtime Advanced V15.1 on HMI device Nitol-PC. Project: 'Coating Machine.PC station - 0' Build 14, created with WinCC Professional V15.1",,4nlP30
40,"5/13/2019 11:55:47 AM","-6:00","System","Application","Change to operating mode 'online'.",,r8R+Aa
41,"5/13/2019 11:55:47 AM","-6:00","System","User administration","User administration imported successfully.",,zDTf8k
0,"5/13/2019 11:56:45 AM","-6:00","System","Application","Stopping program run of WinCC Runtime Advanced V15.1 on device Nitol-PC.",,ED/2sS
0,"5/13/2019 11:57:24 AM","-6:00","System","Application","Runtime start of WinCC Runtime Advanced V15.1 on HMI device Nitol-PC. Project: 'Coating Machine.PC station - 0' Build 14, created with WinCC Professional V15.1",,U+lw33
42,"5/13/2019 11:57:24 AM","-6:00","System","Application","Change to operating mode 'online'.",,R/vXHd
43,"5/13/2019 11:57:24 AM","-6:00","System","User administration","User administration imported successfully.",,zRFC9l
44,"5/13/2019 11:57:55 AM","-6:00","System","User administration","User 'admin' logged on with group 'Administrator group'.",,llrffh
45,"5/13/2019 11:58:06 AM","-6:00","admin","User administration","User logged off.",,jTiT+c
0,"5/13/2019 11:58:51 AM","-6:00","System","Application","Stopping program run of WinCC Runtime Advanced V15.1 on device Nitol-PC.",,rp4l6s
0,"5/13/2019 12:13:40 PM","-6:00","System","Application","Runtime start of WinCC Runtime Advanced V15.1 on HMI device Nitol-PC. Project: 'Coating Machine.PC station - 0' Build 14, created with WinCC Professional V15.1",,6OHBMM
46,"5/13/2019 12:13:40 PM","-6:00","System","Application","Change to operating mode 'online'.",,RLqXfy
47,"5/13/2019 12:13:40 PM","-6:00","System","User administration","User administration imported successfully.",,N+CE91
0,"5/13/2019 12:13:59 PM","-6:00","System","Application","Stopping program run of WinCC Runtime Advanced V15.1 on device Nitol-PC.",,9uawHn
0,"5/13/2019 12:17:52 PM","-6:00","System","Application","Runtime start of WinCC Runtime Advanced V15.1 on HMI device Nitol-PC. Project: 'Coating Machine.PC station - 0' Build 14, created with WinCC Professional V15.1",,DyEheC
48,"5/13/2019 12:17:52 PM","-6:00","System","Application","Change to operating mode 'online'.",,WlPTsL
49,"5/13/2019 12:17:52 PM","-6:00","System","User administration","User administration imported successfully.",,Sdgrr7
0,"5/13/2019 12:18:22 PM","-6:00","System","Application","Stopping program run of WinCC Runtime Advanced V15.1 on device Nitol-PC.",,r3NE4k
0,"5/13/2019 12:19:59 PM","-6:00","System","Application","Runtime start of WinCC Runtime Advanced V15.1 on HMI device Nitol-PC. Project: 'Coating Machine.PC station - 0' Build 14, created with WinCC Professional V15.1",,7a/A2m
50,"5/13/2019 12:19:59 PM","-6:00","System","Application","Change to operating mode 'online'.",,3Qf6kP
51,"5/13/2019 12:19:59 PM","-6:00","System","User administration","User administration imported successfully.",,TsEENi
0,"5/13/2019 12:20:36 PM","-6:00","System","Application","Stopping program run of WinCC Runtime Advanced V15.1 on device Nitol-PC.",,Cuw0BF
0,"5/13/2019 1:04:36 PM","-6:00","System","Application","Runtime start of WinCC Runtime Advanced V15.1 on HMI device Nitol-PC. Project: 'Coating Machine.PC station - 0' Build 14, created with WinCC Professional V15.1",,4b1qPd
52,"5/13/2019 1:04:36 PM","-6:00","System","Application","Change to operating mode 'online'.",,frQTj6
53,"5/13/2019 1:04:36 PM","-6:00","System","User administration","User administration imported successfully.",,yh6wh6
54,"5/13/2019 1:05:01 PM","-6:00","System","User administration","User 'admin' logged on with group 'Administrator group'.",,UnRqX3
0,"5/13/2019 1:05:53 PM","-6:00","System","Application","Stopping program run of WinCC Runtime Advanced V15.1 on device Nitol-PC.",,inF5Y6
0,"5/13/2019 1:07:52 PM","-6:00","System","Application","Runtime start of WinCC Runtime Advanced V15.1 on HMI device Nitol-PC. Project: 'Coating Machine.PC station - 0' Build 14, created with WinCC Professional V15.1",,N4Ed35
55,"5/13/2019 1:07:52 PM","-6:00","System","Application","Change to operating mode 'online'.",,fTyyM9
56,"5/13/2019 1:07:52 PM","-6:00","System","User administration","User administration imported successfully.",,h+xwaA
57,"5/13/2019 1:08:08 PM","-6:00","System","User administration","User 'admin' logged on with group 'Administrator group'.",,r3I3p/
0,"5/13/2019 1:14:57 PM","-6:00","System","Application","Stopping program run of WinCC Runtime Advanced V15.1 on device Nitol-PC.",,dovfnb
0,"5/13/2019 1:16:07 PM","-6:00","System","Application","Runtime start of WinCC Runtime Advanced V15.1 on HMI device Nitol-PC. Project: 'Coating Machine.PC station - 0' Build 14, created with WinCC Professional V15.1",,z+o4fl
58,"5/13/2019 1:16:07 PM","-6:00","System","Application","Change to operating mode 'online'.",,BGr6MJ
59,"5/13/2019 1:16:07 PM","-6:00","System","User administration","User administration imported successfully.",,CfuH47
0,"5/13/2019 1:16:19 PM","-6:00","System","Application","Stopping program run of WinCC Runtime Advanced V15.1 on device Nitol-PC.",,/j7gfF
0,"5/13/2019 1:20:35 PM","-6:00","System","Application","Runtime start of WinCC Runtime Advanced V15.1 on HMI device Nitol-PC. Project: 'Coating Machine.PC station - 0' Build 28, created with WinCC Professional V15.1",,Lp4CL/
60,"5/13/2019 1:20:35 PM","-6:00","System","Application","Change to operating mode 'online'.",,SyFUEu
61,"5/13/2019 1:20:35 PM","-6:00","System","User administration","User administration imported successfully.",,IBQYIW
0,"5/13/2019 1:21:06 PM","-6:00","System","Application","Stopping program run of WinCC Runtime Advanced V15.1 on device Nitol-PC.",,yIz0Wd
0,"5/13/2019 1:23:32 PM","-6:00","System","Application","Runtime start of WinCC Runtime Advanced V15.1 on HMI device Nitol-PC. Project: 'Coating Machine.PC station - 0' Build 28, created with WinCC Professional V15.1",,XvSehg
62,"5/13/2019 1:23:32 PM","-6:00","System","Application","Change to operating mode 'online'.",,3ty54w
63,"5/13/2019 1:23:33 PM","-6:00","System","User administration","User administration imported successfully.",,BD0L46
0,"5/13/2019 1:24:16 PM","-6:00","System","Application","Stopping program run of WinCC Runtime Advanced V15.1 on device Nitol-PC.",,TGcPn8
0,"5/13/2019 1:28:52 PM","-6:00","System","Application","Runtime start of WinCC Runtime Advanced V15.1 on HMI device Nitol-PC. Project: 'Coating Machine.PC station - 0' Build 29, created with WinCC Professional V15.1",,td4seu
64,"5/13/2019 1:28:52 PM","-6:00","System","Application","Change to operating mode 'online'.",,9s/69e
65,"5/13/2019 1:28:52 PM","-6:00","System","User administration","User administration imported successfully.",,onsA2U
0,"5/13/2019 1:29:35 PM","-6:00","System","Application","Stopping program run of WinCC Runtime Advanced V15.1 on device Nitol-PC.",,nDfQSh
0,"5/21/2019 9:30:44 AM","-6:00","System","Application","Runtime start of WinCC Runtime Advanced V15.1 on HMI device Nitol-PC. Project: 'Coating Machine.PC station - 0' Build 30, created with WinCC Professional V15.1",,7axWZz
66,"5/21/2019 9:30:44 AM","-6:00","System","Application","Change to operating mode 'online'.",,+zAZVG
67,"5/21/2019 9:30:44 AM","-6:00","System","User administration","User administration imported successfully.",,oA0JUO
68,"5/21/2019 9:31:04 AM","-6:00","System","User administration","User 'admin' logged on with group 'Administrator group'.",,TH6dKS
0,"5/21/2019 9:36:11 AM","-6:00","System","Application","Stopping program run of WinCC Runtime Advanced V15.1 on device Nitol-PC.",,Lmo/xp
0,"5/21/2019 9:36:13 AM","-6:00","System","Application","Runtime start of WinCC Runtime Advanced V15.1 on HMI device Nitol-PC. Project: 'Coating Machine.PC station - 0' Build 30, created with WinCC Professional V15.1",,TBzeDq
69,"5/21/2019 9:36:13 AM","-6:00","System","Application","Change to operating mode 'online'.",,7BkRIg
70,"5/21/2019 9:36:13 AM","-6:00","System","User administration","User administration imported successfully.",,rm5aGa
0,"5/21/2019 9:38:58 AM","-6:00","System","Application","Stopping program run of WinCC Runtime Advanced V15.1 on device Nitol-PC.",,6YuOcO
0,"5/21/2019 12:55:58 PM","-6:00","System","Application","Runtime start of WinCC Runtime Advanced V15.1 on HMI device Nitol-PC. Project: 'Coating Machine.PC station - 0' Build 30, created with WinCC Professional V15.1",,ldxUtA
71,"5/21/2019 12:55:58 PM","-6:00","System","Application","Change to operating mode 'online'.",,0jGDY/
72,"5/21/2019 12:55:58 PM","-6:00","System","User administration","User administration imported successfully.",,qHr89h
73,"5/21/2019 12:56:10 PM","-6:00","System","User administration","User 'admin' logged on with group 'Administrator group'.",,aLigPf
74,"5/21/2019 1:02:05 PM","-6:00","System","User administration","User logged off.",,Fviq0X
0,"5/21/2019 1:43:35 PM","-6:00","System","Application","Stopping program run of WinCC Runtime Advanced V15.1 on device Nitol-PC.",,jPgTuH
0,"5/22/2019 8:05:23 AM","-6:00","System","Application","Runtime start of WinCC Runtime Advanced V15.1 on HMI device Nitol-PC. Project: 'Coating Machine.PC station - 0' Build 33, created with WinCC Professional V15.1",,u/xc/u
75,"5/22/2019 8:05:23 AM","-6:00","System","Application","Change to operating mode 'online'.",,wlheV/
76,"5/22/2019 8:05:23 AM","-6:00","System","User administration","User administration imported successfully.",,1ovT4H
0,"5/22/2019 8:05:32 AM","-6:00","System","Application","Stopping program run of WinCC Runtime Advanced V15.1 on device Nitol-PC.",,FDOIdW
0,"5/22/2019 8:07:57 AM","-6:00","System","Application","Runtime start of WinCC Runtime Advanced V15.1 on HMI device Nitol-PC. Project: 'Coating Machine.PC station - 0' Build 33, created with WinCC Professional V15.1",,Ajzzl+
77,"5/22/2019 8:07:57 AM","-6:00","System","Application","Change to operating mode 'online'.",,kKCfKY
78,"5/22/2019 8:07:57 AM","-6:00","System","User administration","User administration imported successfully.",,6UnBFo
0,"5/22/2019 8:08:06 AM","-6:00","System","Application","Stopping program run of WinCC Runtime Advanced V15.1 on device Nitol-PC.",,er4mMm
0,"5/22/2019 9:09:31 AM","-6:00","System","Application","Runtime start of WinCC Runtime Advanced V15.1 on HMI device Nitol-PC. Project: 'Coating Machine.PC station - 0' Build 33, created with WinCC Professional V15.1",,OdZIXl
79,"5/22/2019 9:09:31 AM","-6:00","System","Application","Change to operating mode 'online'.",,MA0hsx
80,"5/22/2019 9:09:31 AM","-6:00","System","User administration","User administration imported successfully.",,+EFv6i
0,"5/22/2019 9:09:37 AM","-6:00","System","Application","Stopping program run of WinCC Runtime Advanced V15.1 on device Nitol-PC.",,vJgMcI
0,"5/22/2019 9:11:27 AM","-6:00","System","Application","Runtime start of WinCC Runtime Advanced V15.1 on HMI device Nitol-PC. Project: 'Coating Machine.PC station - 0' Build 33, created with WinCC Professional V15.1",,xxgqeE
81,"5/22/2019 9:11:27 AM","-6:00","System","Application","Change to operating mode 'online'.",,FVpHCl
82,"5/22/2019 9:11:27 AM","-6:00","System","User administration","User administration imported successfully.",,0oihvz
83,"5/22/2019 9:11:43 AM","-6:00","System","User administration","User 'admin' logged on with group 'Administrator group'.",,A7k6NO
0,"5/22/2019 9:12:38 AM","-6:00","System","Application","Stopping program run of WinCC Runtime Advanced V15.1 on device Nitol-PC.",,ad/beR
0,"5/22/2019 9:12:49 AM","-6:00","System","Application","Runtime start of WinCC Runtime Advanced V15.1 on HMI device Nitol-PC. Project: 'Coating Machine.PC station - 0' Build 33, created with WinCC Professional V15.1",,Xa018r
84,"5/22/2019 9:12:49 AM","-6:00","System","Application","Change to operating mode 'online'.",,i46Nf+
85,"5/22/2019 9:12:49 AM","-6:00","System","User administration","User administration imported successfully.",,MBMR7Z
86,"5/22/2019 9:13:08 AM","-6:00","System","User administration","User 'admin' logged on with group 'Administrator group'.",,eW7Ggj
0,"5/22/2019 9:14:38 AM","-6:00","System","Application","Stopping program run of WinCC Runtime Advanced V15.1 on device Nitol-PC.",,johPrz
0,"5/22/2019 9:16:26 AM","-6:00","System","Application","Runtime start of WinCC Runtime Advanced V15.1 on HMI device Nitol-PC. Project: 'Coating Machine.PC station - 0' Build 33, created with WinCC Professional V15.1",,BqVwXr
87,"5/22/2019 9:16:26 AM","-6:00","System","Application","Change to operating mode 'online'.",,HEIcaE
88,"5/22/2019 9:16:26 AM","-6:00","System","User administration","User administration imported successfully.",,tBV7v1
89,"5/22/2019 9:16:45 AM","-6:00","System","User administration","User 'admin' logged on with group 'Administrator group'.",,lT1lFf
0,"5/22/2019 9:17:07 AM","-6:00","System","Application","Stopping program run of WinCC Runtime Advanced V15.1 on device Nitol-PC.",,RDgJWl
0,"5/22/2019 9:24:52 AM","-6:00","System","Application","Runtime start of WinCC Runtime Advanced V15.1 on HMI device Nitol-PC. Project: 'Coating Machine.PC station - 0' Build 33, created with WinCC Professional V15.1",,BYw6hO
90,"5/22/2019 9:24:52 AM","-6:00","System","Application","Change to operating mode 'online'.",,eH7ia9
91,"5/22/2019 9:24:52 AM","-6:00","System","User administration","User administration imported successfully.",,+SjA6R
92,"5/22/2019 9:25:12 AM","-6:00","System","User administration","User 'admin' logged on with group 'Administrator group'.",,82KSA6
0,"5/22/2019 9:27:07 AM","-6:00","System","Application","Stopping program run of WinCC Runtime Advanced V15.1 on device Nitol-PC.",,W+Hd8s
0,"5/22/2019 12:58:14 PM","-6:00","System","Application","Runtime start of WinCC Runtime Advanced V15.1 on HMI device Nitol-PC. Project: 'Coating Machine.PC station - 0' Build 39, created with WinCC Professional V15.1",,aVZ/Qk
93,"5/22/2019 12:58:14 PM","-6:00","System","Application","Change to operating mode 'online'.",,1KI/8H
94,"5/22/2019 12:58:14 PM","-6:00","System","User administration","User administration imported successfully.",,bdja+k
95,"5/22/2019 12:58:35 PM","-6:00","System","User administration","User 'admin' logged on with group 'Administrator group'.",,FV8Gre
0,"5/22/2019 12:59:54 PM","-6:00","System","Application","Stopping program run of WinCC Runtime Advanced V15.1 on device Nitol-PC.",,hJHb6S
0,"5/22/2019 1:01:43 PM","-6:00","System","Application","Runtime start of WinCC Runtime Advanced V15.1 on HMI device Nitol-PC. Project: 'Coating Machine.PC station - 0' Build 39, created with WinCC Professional V15.1",,DgjRja
96,"5/22/2019 1:01:43 PM","-6:00","System","Application","Change to operating mode 'online'.",,iB+BtV
97,"5/22/2019 1:01:43 PM","-6:00","System","User administration","User administration imported successfully.",,YTMKvA
98,"5/22/2019 1:01:56 PM","-6:00","System","User administration","User 'admin' logged on with group 'Administrator group'.",,Fo9ZTM
99,"5/22/2019 1:08:38 PM","-6:00","System","User administration","User logged off.",,bp6EXD
0,"5/22/2019 1:42:59 PM","-6:00","System","Application","Stopping program run of WinCC Runtime Advanced V15.1 on device Nitol-PC.",,VRcqqW
0,"5/23/2019 12:37:00 PM","-6:00","System","Application","Runtime start of WinCC Runtime Advanced V15.1 on HMI device Nitol-PC. Project: 'Coating Machine.PC station - 0' Build 41, created with WinCC Professional V15.1",,b/WTcc
100,"5/23/2019 12:37:00 PM","-6:00","System","Application","Change to operating mode 'online'.",,TcOL2W
101,"5/23/2019 12:37:00 PM","-6:00","System","User administration","User administration imported successfully.",,9Z/B5T
102,"5/23/2019 12:37:24 PM","-6:00","System","User administration","User 'admin' logged on with group 'Administrator group'.",,KaQ7wp
0,"5/23/2019 12:40:30 PM","-6:00","System","Application","Stopping program run of WinCC Runtime Advanced V15.1 on device Nitol-PC.",,ENtInW
0,"5/23/2019 12:41:03 PM","-6:00","System","Application","Runtime start of WinCC Runtime Advanced V15.1 on HMI device Nitol-PC. Project: 'Coating Machine.PC station - 0' Build 41, created with WinCC Professional V15.1",,e7HTbt
103,"5/23/2019 12:41:03 PM","-6:00","System","Application","Change to operating mode 'online'.",,38CFNx
104,"5/23/2019 12:41:03 PM","-6:00","System","User administration","User administration imported successfully.",,+bc1Gz
105,"5/23/2019 12:41:16 PM","-6:00","System","User administration","User 'admin' logged on with group 'Administrator group'.",,0DUPnJ
106,"5/23/2019 12:47:55 PM","-6:00","System","User administration","User logged off.",,849jkH
0,"5/23/2019 12:59:27 PM","-6:00","System","Application","Stopping program run of WinCC Runtime Advanced V15.1 on device Nitol-PC.",,Q9zx56
0,"5/26/2019 7:59:57 AM","-6:00","System","Application","Runtime start of WinCC Runtime Advanced V15.1 on HMI device Nitol-PC. Project: 'Coating Machine.PC station - 0' Build 41, created with WinCC Professional V15.1",,nAv8v2
107,"5/26/2019 7:59:57 AM","-6:00","System","Application","Change to operating mode 'online'.",,ijgUyX
108,"5/26/2019 7:59:57 AM","-6:00","System","User administration","User administration imported successfully.",,tOXa3K
109,"5/26/2019 8:00:14 AM","-6:00","System","User administration","User 'admin' logged on with group 'Administrator group'.",,3gIZz4
0,"5/26/2019 8:02:39 AM","-6:00","System","Application","Stopping program run of WinCC Runtime Advanced V15.1 on device Nitol-PC.",,1f/3+v
0,"5/26/2019 9:30:52 AM","-6:00","System","Application","Runtime start of WinCC Runtime Advanced V15.1 on HMI device Nitol-PC. Project: 'Coating Machine.PC station - 0' Build 44, created with WinCC Professional V15.1",,QwVtrg
110,"5/26/2019 9:30:52 AM","-6:00","System","Application","Change to operating mode 'online'.",,hCEiVL
111,"5/26/2019 9:30:53 AM","-6:00","System","User administration","User administration imported successfully.",,D3EO4W
0,"5/26/2019 11:18:33 AM","-6:00","System","Application","Stopping program run of WinCC Runtime Advanced V15.1 on device Nitol-PC.",,F7qm4t
0,"5/26/2019 11:19:35 AM","-6:00","System","Application","Runtime start of WinCC Runtime Advanced V15.1 on HMI device Nitol-PC. Project: 'Coating Machine.PC station - 0' Build 44, created with WinCC Professional V15.1",,kDyrmn
112,"5/26/2019 11:19:35 AM","-6:00","System","Application","Change to operating mode 'online'.",,+4jo8i
113,"5/26/2019 11:19:35 AM","-6:00","System","User administration","User administration imported successfully.",,Aa2fWg
114,"5/26/2019 11:19:51 AM","-6:00","System","User administration","User 'admin' logged on with group 'Administrator group'.",,/89dAt
115,"5/26/2019 11:25:39 AM","-6:00","System","User administration","User logged off.",,I+fqsk
0,"5/26/2019 11:42:50 AM","-6:00","System","Application","Stopping program run of WinCC Runtime Advanced V15.1 on device Nitol-PC.",,ETUHkY
